Italian,Polish
e,i
non,nie
che,to
di,z
la,tam
il,.
un,a
a,do
per,dla
è,i
in,w
una,a
mi,ja
sono,ja jestem
ho,ja mam
l',l '
si,tak
ha,ma
ma,ale
lo,.
cosa,co
con,z
no,nie
le,.
ti,ty
se,samego siebie
da,z
i,.
come,jak
io,i
ci,tam
hai,ty masz
questo,ten
bene,dobrze
qui,tutaj
sei,sześć
del,z
tu,ty
solo,sam
mio,mój
al,do
me,ja
tutto,wszystko
c',tam
te,ty
era,era
della,z
mia,mój
fatto,zrobione
fare,do
essere,być
so,ja wiem
quando,kiedy
sì,tak
ora,teraz
lei,ona
gli,.
ne,żaden
oh,oh
questa,ten
detto,powiedział
ok,ok
va,idzie
perche,dlaczego
quello,to
mai,nigdy
alla,na
o,lub
anche,również
stato,państwo
abbiamo,mamy
tutti,wszyscy
dei,z
grazie,dziękuję
chi,kto
sta,jest
molto,bardzo
più,więcej
voglio,chcę
perché,dlaczego
tuo,twój
beh,dobrze
sia,jest
nel,w
lui,on
allora,w tym czasie
posso,mogę
piu,więcej
ehi,hej
prima,zanim
tua,twój
suo,jego
niente,nic
qualcosa,coś
sai,"wiesz, że"
siamo,jesteśmy
un',a
cosi,lubię to
davvero,naprawdę
ancora,nadal
hanno,oni mają
stai,jesteś
fa,robi
sua,jej
così,lubię to
casa,dom
uno,jeden
dove,gdzie
su,na
vero,prawda
vuoi,chcesz
noi,my
due,dwa
quindi,dlatego
dire,powiedzieć
d',d '
delle,z
quella,to
sempre,zawsze
altro,inny
sto,ten
andare,iść
ad,do
po,fragment
loro,oni
devo,muszę
quel,to
forse,być może
li,tam
proprio,własny
certo,niektórzy
tempo,czas
nella,w
poi,następnie
vi,ty
credo,wierzę
vita,życie
cose,rzeczy
sul,na
quanto,ile
puoi,możesz
fuori,na zewnątrz
anni,lata
cui,który
andiamo,chodźmy
dell',z
parte,część
visto,pogląd
qualcuno,ktoś
all',na
lavoro,praca
voi,ty
ciao,cześć
dio,bóg
volta,czas
dopo,po
adesso,teraz
stata,był
uomo,człowiek
padre,ojciec
devi,musisz
bisogno,potrzebować
gia,już
amico,przyjaciel
ed,i
posto,miejsce
nessuno,nikt
via,ulica
cos',więc
fai,ty robisz
signore,pan
meglio,lepsza
cazzo,pierdolić
dai,pospiesz się
dal,z
vuole,chce
sembra,wydaje się
giorno,dzień
ogni,wszystko w porządku
modo,sposób
senza,bez
vedere,widzieć
dobbiamo,musimy
signor,pan
qualche,niektóre
dispiace,przepraszam
penso,"myślę, że"
ecco,tutaj jesteś
parlare,mówić
tra,między
mamma,mama
già,już
sarebbe,byłoby
dalla,z
troppo,zbyt
fosse,jest
possiamo,możemy
ce,jest
nuovo,nowy
male,zły
madre,matka
avete,ty masz
tanto,dużo
favore,przychylność
successo,powodzenie
vai,iść
sulla,na
giusto,prawidłowy
sa,wiedzieć
miei,mój
aspetta,czekać
avere,posiadać
altra,inny
farlo,zrobić to
alle,do
facendo,czyn
abbia,posiadać
momento,za chwilę
ero,byłam
aveva,miałem
ragazzi,chłopcy
deve,musi
persone,ludzie
nostro,nasz
tipo,facet
prego,proszę
grande,świetnie
può,móc
senti,czuć
appena,jak tylko
potrebbe,możliwe
soldi,pieniądze
dice,on mówi
sapere,wiedzieć
tre,trzy
oggi,dzisiaj
questi,te
piace,przyjemne
idea,pomysł
siete,jesteś
ai,do
avevo,miałem
figlio,syn
accordo,porozumienie
gente,ludzie
sicuro,bezpieczna
vieni,przyjeżdżacie
degli,z
guarda,patrzeć
dentro,wewnątrz
trovato,znaleziony
queste,te
caso,sprawa
forza,siła
dov',gdzie
tutte,wszystko
pensi,myśleć
signora,dama
faccio,ja robię
nome,imię
avuto,miał
problema,problem
altri,inni
puo,móc
aver,posiadać
mondo,świat
tutta,wszystko
preso,zajęty 
nulla,nic
nostra,nasz
donna,kobieta
stare,zostać
basta,wystarczająco
insieme,razem
faccia,twarz
ragazza,dziewczyna
subito,od razu
famiglia,rodzina
ragazzo,chłopak
volevo,chciałem
okay,dobra
sentito,sens
ah,ah
stesso,to samo
ragione,powód
sarà,będzie
tuoi,twój
capito,zrozumiany
notte,noc
volte,czasy
testa,głowa
serve,podawać
tesoro,skarb
sotto,pod 
eh,eh
suoi,jego
vado,idę
sara,będzie
dato,dany
stiamo,jesteśmy